count;ultrasonic (s);laser (num);distance (cm);Shape
499;1716;315;30;plane
500;1716;315;30;plane
501;1716;315;30;plane
502;1716;315;30;plane
503;1715;313;30;plane
504;1715;313;30;plane
505;1716;317;30;plane
506;1716;317;30;plane
507;1716;315;30;plane
508;1716;315;30;plane
509;1716;320;30;plane
510;1716;320;30;plane
511;1716;316;30;plane
512;1716;316;30;plane
513;1716;317;30;plane
514;1716;317;30;plane
515;1716;316;30;plane
516;1716;316;30;plane
517;1716;312;30;plane
518;1716;312;30;plane
519;1740;318;30;plane
520;1740;318;30;plane
521;1778;409;40;plane
522;1778;409;40;plane
523;2298;406;40;plane
524;2298;406;40;plane
525;2295;403;40;plane
526;2295;403;40;plane
527;2271;402;40;plane
528;2271;402;40;plane
529;2301;404;40;plane
530;2301;404;40;plane
531;2274;403;40;plane
532;2274;403;40;plane
533;2325;407;40;plane
534;2325;407;40;plane
535;2275;403;40;plane
536;2275;403;40;plane
537;2269;406;40;plane
538;2269;406;40;plane
539;2277;402;40;plane
540;2277;402;40;plane
541;2295;402;40;plane
542;2295;402;40;plane
543;2301;403;40;plane
544;2301;403;40;plane
545;2275;404;40;plane
546;2275;404;40;plane
547;2275;402;40;plane
548;2275;402;40;plane
549;2301;404;40;plane
550;2301;404;40;plane
551;2269;406;40;plane
552;2269;406;40;plane
553;2274;403;40;plane
554;2274;403;40;plane
555;2296;403;40;plane
556;2296;403;40;plane
557;2302;402;40;plane
558;2302;402;40;plane
559;2301;407;40;plane
560;2301;407;40;plane
561;2319;466;50;plane
562;2319;466;50;plane
563;2722;477;50;plane
564;2722;477;50;plane
565;2836;467;50;plane
566;2836;467;50;plane
567;2813;468;50;plane
568;2813;468;50;plane
569;2812;474;50;plane
570;2812;474;50;plane
571;2812;468;50;plane
572;2812;468;50;plane
573;2839;470;50;plane
574;2839;470;50;plane
575;2818;470;50;plane
576;2818;470;50;plane
577;2819;465;50;plane
578;2819;465;50;plane
579;2818;466;50;plane
580;2818;466;50;plane
581;2839;468;50;plane
582;2839;468;50;plane
583;2812;466;50;plane
584;2812;466;50;plane
585;2812;468;50;plane
586;2812;468;50;plane
587;2813;473;50;plane
588;2813;473;50;plane
589;2813;472;50;plane
590;2813;472;50;plane
591;2812;469;50;plane
592;2812;469;50;plane
593;2812;465;50;plane
594;2812;465;50;plane
595;2839;468;50;plane
596;2839;468;50;plane
597;2845;469;50;plane
598;2845;469;50;plane
599;2819;464;50;plane
600;2819;464;50;plane
