count;ultrasonic;laser
310;2100;331
311;2100;331
312;1365;333
313;1365;333
314;2073;330
315;2073;330
316;2073;329
317;2073;329
318;2074;333
319;2074;333
320;2673;414
321;2673;414
322;1939;417
323;1939;417
324;1939;413
325;1939;413
326;1915;413
327;1915;413
328;1921;415
329;1921;415
330;1939;413
331;1939;413
332;1938;418
333;1938;418
334;1939;415
335;1939;415
336;1945;409
337;1945;409
338;1939;409
339;1939;409
340;1939;416
341;1939;416
342;1939;412
343;1939;412
344;1938;413
345;1938;413
346;1938;412
347;1938;412
348;1963;410
349;1963;410
350;1939;416
351;1939;416
352;1938;412
353;1938;412
354;1963;416
355;1963;416
356;1939;410
357;1939;410
358;1938;414
359;1938;414
360;1939;447
361;1939;447
362;2183;439
363;2183;439
364;2201;436
365;2201;436
366;2208;437
367;2208;437
368;2202;440
369;2202;440
370;2207;432
371;2207;432
372;2202;432
373;2202;432
374;2181;438
375;2181;438
376;2208;437
377;2208;437
378;2181;439
379;2181;439
380;2181;440
381;2181;440
382;2181;444
383;2181;444
384;2181;434
385;2181;434
386;2181;438
387;2181;438
388;2207;435
389;2207;435
390;2208;434
391;2208;434
392;2208;442
393;2208;442
394;2183;433
395;2183;433
396;2208;437
397;2208;437
398;2208;434
399;2208;434
400;2208;434
401;440;89
402;440;89
403;434;86
404;434;86
405;440;88
406;440;88
407;440;91
408;440;91
409;434;90
410;434;90
411;440;90
412;440;90
413;440;91
414;440;91
415;434;90
416;434;90
417;440;92
418;440;92
419;440;91
420;440;91
421;434;90
422;434;90
423;440;88
424;440;88
425;439;90
426;439;90
427;433;90
428;433;90
429;440;92
430;440;92
431;440;144
432;440;144
433;810;181
434;810;181
435;954;180
436;954;180
437;954;181
438;954;181
439;980;181
440;980;181
441;957;181
442;957;181
443;981;179
444;981;179
445;963;180
446;963;180
447;957;181
448;957;181
449;956;179
450;956;179
451;957;180
452;957;180
453;957;180
454;957;180
455;956;183
456;956;183
457;954;181
458;954;181
459;957;180
460;957;180
461;956;182
462;956;182
463;957;181
464;957;181
465;957;181
466;957;181
467;957;181
468;957;181
469;957;184
470;957;184
471;963;183
472;963;183
473;957;181
474;957;181
475;957;179
476;957;179
477;957;181
478;957;181
479;981;181
480;981;181
481;957;178
482;957;178
483;957;185
484;957;185
485;945;237
486;945;237
487;1222;241
488;1222;241
489;1246;243
490;1246;243
491;1240;243
492;1240;243
493;1273;241
494;1273;241
495;1247;241
496;1247;241
497;1246;241
498;1246;241
499;1274;239
500;1274;239
501;1274;242
502;1274;242
503;1273;241
504;1273;241
505;1241;243
506;1241;243
507;1247;240
508;1247;240
509;1241;241
510;1241;241
511;1247;241
512;1247;241
513;1246;244
514;1246;244
515;1247;242
516;1247;242
517;1246;243
518;1246;243
519;1247;241
520;1247;241
521;1246;245
522;1246;245
523;1241;275
524;1241;275
525;1650;383
526;1650;383
527;2128;388
528;2128;388
529;2152;382
530;2152;382
531;2129;386
532;2129;386
533;2128;384
534;2128;384
535;2128;384
536;2128;384
537;2128;385
538;2128;385
539;2146;384
540;2146;384
541;2129;385
542;2129;385
543;2128;386
544;2128;386
545;2128;386
546;2128;386
547;2128;382
548;2128;382
549;2128;385
550;2128;385
551;2128;388
552;2128;388
553;2129;380
554;2129;380
555;2128;387
556;2128;387
557;2128;382
558;2128;382
559;2127;383
560;2127;383
561;2128;384
562;2128;384
563;2122;385
564;2122;385
565;2128;385
566;2128;385
567;2122;384
568;2122;384
569;2152;397
570;2152;397
571;2290;444
572;2290;444
573;2582;451
574;2582;451
575;2652;452
576;2652;452
577;2630;453
578;2630;453
579;2624;452
580;2624;452
581;2624;451
582;2624;451
583;2624;454
584;2624;454
585;2624;455
586;2624;455
587;2624;448
588;2624;448
589;2624;449
590;2624;449
591;2625;447
592;2625;447
593;2630;449
594;2630;449
595;2630;454
596;2630;454
597;2630;453
598;2630;453
599;2630;451
600;2630;451
